Movie Title,Rating,Actors
Форрест Гамп,8.8,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis, Logan Livingston Gomez, Ben Waddel, Elizabeth Hanks, Hanna Hall, Tyler Long, Christopher Jones, Grady Bowman, Kevin Mangan, Fay Genens, Frank Geyer, Robin Wright, Rob Landry, Jason McGuire, Pete Auster, Sonny Shroyer, Brett Rice, Ed Davis, Daniel C. Striepeke, Bruce Lucvia, David Brisbin, Kirk Ward, Angela Lomas, Timothy Record, Deborah McTeer, Mark Matheisen, Al Harrington, Jed Gillin, Bob Harks, Don Fischer, Kenneth Bevington, Michael Flannery, Gary Robinson, Mykelti Williamson, Marlena Smalls, Kitty K. Green, Afemo Omilami, Matt Wallace, Danté McCarthy, Paulie DiCocco, Mike Jolly, Michael Kemmerling, John Voldstad, Jeffrey Winner, Russ Wilson, Daniel J. Gillooly, Gary Sinise, Calvin Gadsden, Aaron Izbicki, Michael Burgess, Steven Griffith, Bill Roberson, Michael McFall, Eric Underwood, Steve DeRelian, Byron Minns, Stephen Bridgewater, Bonnie Ann Burgess, Scott Oliver, John William Galt, Hilary Chaplain, Isabel Rose, Jay Ross, Richard D'Alessandro, Dick Stilwell, Kevin Davis, Michael Jace, Geoffrey Blake, Tim Perry, Vanessa Roth, Emily Carey, Paul Raczkowski, Valentine, Dick Cavett, Joe Stefanelli, Tiffany Salerno, Marla Sucharetza, Aloysius Gigl, Jack Bowden, Joe Alaskey, Lazarus Jackson, W. Benson Terry, Matt Rebenkoff, Peter Bannon, The Hallelujah Singers of Beaufort South Carolina, Joe Washington, Nora Dunfee, Natalie Hendrix Tate, Hallie D'Amore, Chiffonye Cobb, Juan Singleton, Bobby Richardson, Michael Mattison, Lenny Herb, Charles Boswell, Timothy McNeil, Haley Joel Osment, Lonnie Hamilton, Teresa Denton"
Властелин колец: Две крепости,8.8,"Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Orlando Bloom, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif, Calum Gittins, Bernard Hill, Bruce Hopkins, Paris Howe Strewe, Christopher Lee, Nathaniel Lees, John Leigh, Robbie Magasiva, Robyn Malcolm, Ian McKellen, Dominic Monaghan, Viggo Mortensen, Miranda Otto, Craig Parker, Bruce Phillips, Robert Pollock, John Rhys-Davies, Andy Serkis, Olivia Tennet, Ray Trickitt, Liv Tyler, Karl Urban, Stephen Ure, Hugo Weaving, David Wenham, Elijah Wood, Victoria Beynon-Cole, Lee Hartley, Phil Grieve, Billy Jackson, Katherine Jackson"
Бойцовский клуб,8.8,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell, Rob Lanza, David Lee Smith, Holt McCallany, Joel Bissonnette, Eion Bailey, Evan Mirand, Robby Robinson, Lou Beatty Jr., Thom Gossom Jr., Valerie Bickford, Jared Leto, Peter Iacangelo, Carl Ciarfalio, Stuart Blumberg, Todd Peirce, Mark Fite, Matt Winston, Joon Kim, Bennie Moore, Lauren Sanchez, Pat McNamara, Tyrone R. Livingston, Owen Masterson, David Jean Thomas, Paul Carafotes, Christopher John Fields, Anderson Bourell, Scotch Ellis Loring, Michael Shamus Wiles, Andi Carnick, Edward Kowalczyk, Leonard Termo, Van Quattro, Markus Redmond, Michael Girardin"
Начало,8.8,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune, Yuji Okumoto, Earl Cameron, Ryan Hayward, Miranda Nolan, Russ Fega, Tim Kelleher, Talulah Riley, Nicolas Clerc, Coralie Dedykere, Silvie Laguna, Virgile Bramly, Jean-Michel Dagory, Helena Cullinan, Mark Fleischmann, Shelley Lang, Adam Cole, Jack Murray, Kraig Thornber, Angela Nathenson, Natasha Beaumont, Marc Raducci, Carl Gilliard, Jill Maddrell, Alex Lombard, Nicole Pulliam, Peter Basham, Michael Gaston, Felix Scott, Andrew Pleavin, Lisa Reynolds, Jason Tendell, Jack Gilroy, Shannon Welles"
Звёздные войны: Эпизод 5 - Империя наносит ответный удар,8.7,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness, Jeremy Bulloch, John Hollis, Jack Purvis, Des Webb, Clive Revill, Kenneth Colley, Julian Glover, Michael Sheard, Michael Culver, John Dicks, Milton Johns, Mark Jones, Oliver Maguire, Robin Scobey, Bruce Boa, Christopher Malcolm, Denis Lawson, Richard Oldfield, John Morton, Ian Liston, John Ratzenberger, Jack McKenzie, Jerry Harte, Norman Chancer, Norwich Duff, Ray Hassett, Brigitte Kahn, Burnell Tucker"
Матрица,8.7,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray, Ada Nicodemou, Deni Gordon, Rowan Witt, Eleanor Witt, Tamara Brown, Janaya Pender, Adryn White, Natalie Tjen, Bill Young, David O'Connor, Jeremy Ball, Fiona Johnson, Harry Lawrence, Steve Dodd, Luke Quinton, Lawrence Woodward, Michael Butcher, Bernard Ledger, Robert Simper, Chris Pattinson, Nigel Harbach"
Славные парни,8.7,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low, Frank DiLeo, Henny Youngman, Gina Mastrogiacomo, Catherine Scorsese, Charles Scorsese, Suzanne Shepherd, Debi Mazar, Margo Winkler, Welker White, Jerry Vale, Julie Garfield, Christopher Serrone, Elaine Kagan, Beau Starr, Kevin Corrigan, Michael Imperioli, Robbie Vinton, Johnny Williams, Daniel P. Conte, Tony Conforti, Frank Pellegrino, Ronald Maccone, Tony Sirico, Joseph D'Onofrio, Steve Forleo, Richard Dioguardi, Frank Adonis, John Manca, Joseph Bono, Katherine Wallach, Mark Jacobs, Angela Pietropinto, Marianne Leone, Marie Michaels, LoNardo, Melissa Prophet, Illeana Douglas, Susan Varon, Elizabeth Whitcraft, Clem Caserta, Samuel L. Jackson, Fran McGee, Paul Herman, Edward McDonald, Edward Hayes, Daniela Barbosa, Gina Mattia, Joel Calendrillo, Anthony Valentin, Edward D. Murphy, Michael Citriniti, Peter Hock, Erasmus C. Alfano, John Di Benedetto, Manny Alfaro, Thomas Lowry, Margaret Smith, Richard Mullally, Frank Albanese, Paul McIsaac, Bob Golub, Louis Eppolito, Tony Lip, Mikey Black, Peter Cicale, Anthony Powers, Vincent Pastore, Anthony Alessandro, Victor Colicchio, Mike Contessa, Philip Suriano, Paul Mougey, Norman Barbera, Anthony Polemeni, James Quattrochi, Lawrence Sacco, Dino Laudicina, Thomas E. Camuti, Andrew Scudiero, Irving Welzer, Jesse Kirtzman, Russell Halley, Spencer Bradley, Bob Altman, Joanna Bennett, Gayle Lewis, Gaetano Lisi, Luke Walter, Ed Deacy, Larry Silvestri, John 'Cha Cha' Ciarcia, Vito Picone, Janis Corsair, Frank Aquilino, Lisa D'Apolito, Michael Calandrino, Vito Antuofermo, Vito Balsamo, Peter Fain, Vincent Gallo, Gaetano LoGiudice, Garry Pastore, Nicole Burdette, Stella Keitel, Dominique DeVito, Michaelangelo Graziano, Paula Kcira, Nadine Kay, Tony Ellis, Peter Onorati, Jamie De Roy, Joel Blake, H. Clay Dear, Thomas Hewson, Gene Canfield, Margaux Guerard, Violet Gaynor, Tobin Bell, Berlinda Tolbert, Nancy Cassaro, Adam Wandt, Joe Gioco, Isiah Whitlock Jr., Alyson Jones, Ruby Gaynor, Bo Dietl"
Пролетая над гнездом кукушки,8.7,"Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown, Scatman Crothers, Mwako Cumbuka, Danny DeVito, William Duell, Josip Elic, Lan Fendors, Louise Fletcher, Nathan George, Ken Kenny, Mel Lambert, Sydney Lassick, Kay Lee, Christopher Lloyd, Dwight Marfield, Ted Markland, Louisa Moritz, Jack Nicholson, William Redfield, Philip Roth, Will Sampson, Mimi Sarkisian, Vincent Schiavelli, Mews Small, Delos V. Smith Jr., Tin Welch, Brad Dourif"
Интерстеллар,8.7,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Anne Hathaway, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck, Leah Cairns, Jessica Chastain, Liam Dickinson, Topher Grace, Matt Damon, Flora Nolan, Griffen Fraser, Jeff Hephner, Lena Georgas, Elyes Gabel, Brooke Smith, Russ Fega"
Семь,8.6,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt, Gwyneth Paltrow, John Cassini, Bob Mack, Peter Crombie, Reg E. Cathey, R. Lee Ermey, George Christy, Endre Hules, Hawthorne James, William Davidson, Bob Collins, Jimmy Dale Hartsell, Richard Roundtree, Charline Su, Dominique Jennings, Allan Kolman, Beverly Burke, Gene Borkan, Julie Araskog, Mario Di Donato, Alfonso Freeman, John C. McGinley, Harrison White, Bob Stephenson, Michael Reid MacKay, Kevin Spacey, Richard Portnow, Tudor Sherrard, Mark Boone Junior, Pamala Tyson, Lennie Loftin, Sarah Reinhardt, Emily Wagner, Martin Serene, Michael Massee, David Correia, Ron Blair, Jennifer Mueller, Leland Orser, Lexie Bigham, Evan Mirand, Paul Eckstein, Harris Savides, Rachel Flanagan, Heidi Schanz, Brian Evers, Shannon Wilcox, Richard Schiff, James Deeth, John Santin, Charles A. Tamburro, Richmond Arquette, Duffy Gaver"
Эта замечательная жизнь,8.6,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton, Charles Williams, Sarah Edwards, William Edmunds, Lillian Randolph, Argentina Brunetti, Robert J. Anderson, Ronnie Ralph, Jean Gale, Jeanine Ann Roose, Danny Mummert, Georgie Nokes, Sheldon Leonard, Frank Hagney, Ray Walker, Charles Lane, Edward Keane, Carol Coombs, Karolyn Grimes, Larry Simms, Jimmy Hawkins"
Семь самураев,8.6,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno, Kichijirô Ueda, Jun Tatara, Atsushi Watanabe, Toranosuke Ogawa, Isao Yamagata, Sôjin Kamiyama, Gen Shimizu, Keiji Sakakida, Shinpei Takagi, Shin Ôtomo, Toshio Takahara, Hiroshi Sugi, Hiroshi Hayashi, Sachio Sakai, Sôkichi Maki, Ichirô Chiba, Noriko Sengoku, Noriko Honma, Masanobu Ôkubo, Etsuo Saijô, Minoru Itô, Haruya Sakamoto, Gorô Sakurai, Hideo Shibuya, Kiyoshi Kamoda, Senkichi Ômura, Takashi Narita, Shôichi Hirose, Kôji Uno, Masaaki Tachibana, Kamayuki Tsubono, Taiji Naka, Chindanji Miyagawa, Shigemi Sunagawa, Akira Tani, Akio Kusama, Ryûtarô Amami, Jun Mikami, Haruo Nakajima, Sanpei Mine, Masahide Matsushita, Kaneo Ikeda, Takuzô Kumagai, Ippei Kawagoe, Jirô Suzukawa, Junpei Natsuki, Kyôichi Kamiyama, Haruo Suzuki, Gorô Amano, Akira Kitchôji, Kôji Iwamoto, Hiroshi Akitsu, Akira Yamada, Kazuo Imai, Eisuke Nakanishi, Toku Ihara, Hideo Ôtsuka, Tokio Ôkawa, Yasuhisa Tsutsumi, Yasumasa Ônishi, Tsuneo Katagiri, Megeru Shimoda, Masayoshi Kawabe, Shigeo Katô, Yoshikazu Kawamata, Takeshi Seki, Haruko Toyama, Tsuruko Mano, Matsue Ono, Tsurue Ichimanji, Masako Ôshiro, Kyôko Ozawa, Michiko Kadono, Toshiko Nakano, Shizuko Azuma, Keiko Mori, Michiko Kawabe, Yûko Togawa, Yayoko Kitano, Misao Suyama, Toriko Takahara"
Молчание ягнят,8.6,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Charles Napier, Tracey Walter, Roger Corman, Ron Vawter, Danny Darst, Jeffrie Lane, Frankie Faison, Paul Lazar, Dan Butler, Chris Isaak, Lawrence A. Bonney, Lawrence T. Wrentz, Don Brockett, Frank Seals Jr., Stuart Rudin, Maria Skorobogatov, Leib Lensky, George 'Red' Schwartz, Jim Roche, James B. Howard, Bill Miller, Chuck Aber, Gene Borkan, Pat McNamara, Kenneth Utt, Darla, Adelle Lutz, Obba Babatundé, George Michael, Jim Dratfield, D. Stanton Miranda, Rebecca Saxon, Cynthia Ettinger, Brent Hinkley, Steve Wyatt, Alex Coleman, David Early, Andre B. Blake, Bill Dalzell, Daniel von Bargen, Tommy Lafitte, Josh Broder, Buzz Kilman, Harry Northup, Lauren Roselli, Lamont Arnold"
Спасти рядового Райана,8.6,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Matt Damon, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter, Gary Sefton, Julian Spencer, Steve Griffin, William Marsh, Marc Cass, Markus Napier, Neil Finnighan, Peter Miles, Paul Garcia, Seamus McQuade, Ronald Longridge, Adam Shaw, Rolf Saxon, Corey Johnson, Loclann Aiken, John Barnett, Maclean Burke, Victor Burke, Aiden Condron, Shashi Rami, Shane Hagan, Paul Hickey, Shane Johnson, Laird Macintosh, Brian Maynard, Martin McDougall, Mark Phillips, Lee Aaron Rosen, Andrew Scott, Matthew Sharp, Vincent Walsh, Grahame Wood, John Sharian, Glenn Wrage, Crofton Hardester, Martin Hub, Raffaello Degruttola, Nigel Whitmey, Sam Ellis, Erich Redman, Tilo Keiner, Stephan Grothgar, Stephane Cornicard, Michelle Evans, Martin Beaton, Anna Maguire, Nathan Fillion, Leland Orser, Michael Mantas, David Vegh, Ryan Hurst, Nick Brooks, Sam Scudder, John Walters, Dorothy Grumbar, James Innes-Smith, Harve Presnell, Dale Dye, Bryan Cranston, David Wohl, Eric Loren, Valerie Colgan, Amanda Boxer, Harrison Young, Kathleen Byron, Rob Freeman, Thomas Gizbert"
